"OrganizationIdentifier","OrganizationFormalName","ActivityStartDate","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityDepthHeightMeasure.MeasureValue","Month","Year","DO_mgL","NO23_mgL","Orthophosphate_mgL","pH","TP_mgL","NH3_mgL","TKN_mgL","Chl_probe_RFU","TSS_mgL","TDP_mgL","MonitoringLocationName","MonitoringLocationDescriptionText","HUCEightDigitCode","LatitudeMeasure","LongitudeMeasure"
"WIDNR_WQX","Wisconsin Department of Natural Resources",2020-12-07,"WIDNR_WQX","WIDNR_WQX-363069",0.5,12,2020,NA,2.43,NA,8.4,NA,0.0227,1.27,2.4,5.8,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-01-11,"WIDNR_WQX","WIDNR_WQX-363069",0.5,1,2021,NA,3.74,NA,8.38,NA,NA,0.844,3.41,NA,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-02-03,"WIDNR_WQX","WIDNR_WQX-363069",0.5,2,2021,NA,3.73,NA,8.45,NA,0.0342,0.856,5.81,NA,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-04-14,"WIDNR_WQX","WIDNR_WQX-363069",0.5,4,2021,NA,0.897,NA,8.35,NA,0.0839,1.48,31.1,48,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-05-12,"WIDNR_WQX","WIDNR_WQX-363069",0.5,5,2021,NA,0.567,NA,8.46,NA,0.0199,1.62,89.8,36.6,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-06-16,"WIDNR_WQX","WIDNR_WQX-363069",0.5,6,2021,56.95,0.293,NA,8.475,NA,0.0442,1.35,11.7,16.8,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-07-14,"WIDNR_WQX","WIDNR_WQX-363069",0.5,7,2021,47.55,0.859,NA,8.305,NA,0.0752,1.68,35.9,80,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-09-13,"WIDNR_WQX","WIDNR_WQX-363069",0.5,9,2021,49.75,0.477,NA,8.095,NA,0.02,1.44,3.24,20.4,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-10-18,"WIDNR_WQX","WIDNR_WQX-363069",0.5,10,2021,54.35,1.14,NA,8.44,NA,0.0248,1.49,4.01,20.2,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-11-10,"WIDNR_WQX","WIDNR_WQX-363069",0.5,11,2021,NA,2.11,NA,8.44,NA,NA,1.13,10.3,7.4,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2021-12-14,"WIDNR_WQX","WIDNR_WQX-363069",0.5,12,2021,NA,2.27,NA,8.39,NA,NA,1.17,36,19.4,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2022-01-03,"WIDNR_WQX","WIDNR_WQX-363069",0.5,1,2022,NA,3.1,NA,8.39,NA,0.0179,0.753,8.45,2,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2022-02-07,"WIDNR_WQX","WIDNR_WQX-363069",0.5,2,2022,NA,4.34,NA,8.17,NA,0.0396,0.915,2.62,NA,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2022-03-14,"WIDNR_WQX","WIDNR_WQX-363069",0.5,3,2022,NA,2.43,NA,7.89,NA,0.825,3.17,5.02,16.6,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2022-04-05,"WIDNR_WQX","WIDNR_WQX-363069",0.5,4,2022,55.65,2.47,NA,8.22,NA,0.0576,1.26,7.73,18,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
"WIDNR_WQX","Wisconsin Department of Natural Resources",2022-05-11,"WIDNR_WQX","WIDNR_WQX-363069",0.5,5,2022,64.75,NA,NA,8.4,NA,NA,NA,NA,28.2,NA,"Manitowoc River at Cth Jj(Michigan Ave)","AT USGS GAGING STATION 04085427. MONTHLY MONITORING STATION MOVED TO THIS LOCATION FROM MANITOWOC R AT 10TH ST (363002) ON JANUARY 1,1977. SITE IS LOCATED AT HWY JJ (MICHIGAN AVENUE AND BROADWAY) ON THE WESTERN EDGE OF MANITOWOC.","04030101",44.106068,-87.71607
